code,name,category
DE-BW,Baden-Württemberg,subdivision
DE-BY,Bayern,subdivision
DE-BE,Berlin,subdivision
DE-BB,Brandenburg,subdivision
DE-HB,Bremen,subdivision
DE-HH,Hamburg,subdivision
DE-HE,Hessen,subdivision
DE-MV,Mecklenburg-Vorpommern,subdivision
DE-NI,Niedersachsen,subdivision
DE-NW,Nordrhein-Westfalen,subdivision
DE-RP,Rheinland-Pfalz,subdivision
DE-SL,Saarland,subdivision
DE-SN,Sachsen,subdivision
DE-ST,Sachsen-Anhalt,subdivision
DE-SH,Schleswig-Holstein,subdivision
DE-TH,Thüringen,subdivision